postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3847,2191,21,461,958.5,2,6,27/06/2022,2022-06-28
3850,14782,120,4676,811.8,33,6,27/06/2022,2022-06-28
3851,5689,32,1347,562.5,6,6,27/06/2022,2022-06-28
3852,92,3,97,3260.9,1,7,27/06/2022,2022-06-28
3854,1400,10,372,714.3,1,6,27/06/2022,2022-06-28
3856,992,12,322,1209.7,5,7,27/06/2022,2022-06-28
3857,368,2,69,543.5,0,6,27/06/2022,2022-06-28
3858,3026,13,761,429.6,5,5,27/06/2022,2022-06-28
3859,834,1,197,119.9,0,4,27/06/2022,2022-06-28
3860,7171,40,1869,557.8,8,6,27/06/2022,2022-06-28
3862,3157,32,990,1013.6,6,7,27/06/2022,2022-06-28
3864,218,0,60,0,0,0,27/06/2022,2022-06-28
3865,445,3,134,674.2,0,6,27/06/2022,2022-06-28
3869,1624,19,497,1170,8,7,27/06/2022,2022-06-28
3870,1265,9,302,711.5,1,6,27/06/2022,2022-06-28
3871,2904,21,629,723.1,1,6,27/06/2022,2022-06-28
3873,323,2,70,619.2,0,6,27/06/2022,2022-06-28
3874,558,4,146,716.8,0,6,27/06/2022,2022-06-28
3875,18625,113,4907,606.7,13,6,27/06/2022,2022-06-28
3878,1098,4,265,364.3,2,5,27/06/2022,2022-06-28
3880,4037,45,808,1114.7,10,7,27/06/2022,2022-06-28
3882,1094,7,306,639.9,3,6,27/06/2022,2022-06-28
3885,1868,11,393,588.9,2,6,27/06/2022,2022-06-28
3886,395,2,72,506.3,0,6,27/06/2022,2022-06-28
3887,342,1,61,292.4,0,5,27/06/2022,2022-06-28
3888,3421,15,579,438.5,5,5,27/06/2022,2022-06-28
3889,179,0,13,0,0,0,27/06/2022,2022-06-28
3890,324,0,53,0,0,0,27/06/2022,2022-06-28
3891,104,0,12,0,0,0,27/06/2022,2022-06-28
3892,1060,9,215,849.1,1,6,27/06/2022,2022-06-28
3893,22,0,1,0,0,0,27/06/2022,2022-06-28
3895,194,0,20,0,0,0,27/06/2022,2022-06-28
3896,405,1,59,246.9,0,5,27/06/2022,2022-06-28
3898,790,12,153,1519,1,7,27/06/2022,2022-06-28
3900,151,0,20,0,0,0,27/06/2022,2022-06-28
3902,412,1,67,242.7,0,5,27/06/2022,2022-06-28
3903,746,2,195,268.1,1,5,27/06/2022,2022-06-28
3904,1452,6,368,413.2,0,5,27/06/2022,2022-06-28
3909,7901,47,1798,594.9,13,6,27/06/2022,2022-06-28
3910,22587,158,7957,699.5,27,6,27/06/2022,2022-06-28
3911,3413,22,996,644.6,6,6,27/06/2022,2022-06-28
3912,15154,96,4850,633.5,13,6,27/06/2022,2022-06-28
3913,3337,31,1047,929,8,6,27/06/2022,2022-06-28
3915,9960,58,3054,582.3,11,6,27/06/2022,2022-06-28
3916,952,7,317,735.3,1,6,27/06/2022,2022-06-28
3918,3704,34,1160,917.9,8,6,27/06/2022,2022-06-28
3919,3182,23,920,722.8,3,6,27/06/2022,2022-06-28
3920,1037,6,262,578.6,1,6,27/06/2022,2022-06-28
3921,114,0,10,0,0,0,27/06/2022,2022-06-28
3922,7740,56,2565,723.5,12,6,27/06/2022,2022-06-28
3923,516,8,187,1550.4,3,7,27/06/2022,2022-06-28
3925,3377,35,1295,1036.4,11,7,27/06/2022,2022-06-28
3926,3240,25,950,771.6,3,6,27/06/2022,2022-06-28
3927,1671,10,543,598.4,4,6,27/06/2022,2022-06-28
3928,413,3,146,726.4,0,6,27/06/2022,2022-06-28
3929,906,4,270,441.5,3,5,27/06/2022,2022-06-28
3930,17889,96,5584,536.6,16,6,27/06/2022,2022-06-28
3931,23991,177,7402,737.8,34,6,27/06/2022,2022-06-28
3933,1101,6,258,545,1,6,27/06/2022,2022-06-28
3934,18547,138,5994,744.1,34,6,27/06/2022,2022-06-28
3936,11024,89,3985,807.3,10,6,27/06/2022,2022-06-28
3937,1519,11,464,724.2,1,6,27/06/2022,2022-06-28
3938,2820,20,960,709.2,1,6,27/06/2022,2022-06-28
3939,14522,113,4688,778.1,20,6,27/06/2022,2022-06-28
3940,4930,31,1395,628.8,5,6,27/06/2022,2022-06-28
3941,12174,92,4195,755.7,20,6,27/06/2022,2022-06-28
3942,2317,14,898,604.2,3,6,27/06/2022,2022-06-28
3943,1593,8,621,502.2,1,6,27/06/2022,2022-06-28
3944,510,5,343,980.4,2,6,27/06/2022,2022-06-28
3945,976,7,259,717.2,0,6,27/06/2022,2022-06-28
3946,216,3,48,1388.9,1,7,27/06/2022,2022-06-28
3950,4798,28,1394,583.6,2,6,27/06/2022,2022-06-28
3951,1005,7,218,696.5,1,6,27/06/2022,2022-06-28
3953,7859,40,2036,509,5,6,27/06/2022,2022-06-28
3954,404,4,91,990.1,0,6,27/06/2022,2022-06-28
3956,2818,25,650,887.2,7,6,27/06/2022,2022-06-28
3957,279,0,58,0,0,0,27/06/2022,2022-06-28
3958,272,0,57,0,0,0,27/06/2022,2022-06-28
3959,1153,5,309,433.7,1,5,27/06/2022,2022-06-28
3960,2477,19,592,767.1,2,6,27/06/2022,2022-06-28
3962,913,4,162,438.1,1,5,27/06/2022,2022-06-28
3964,133,1,44,751.9,0,6,27/06/2022,2022-06-28
3965,208,1,32,480.8,0,5,27/06/2022,2022-06-28
3966,510,1,105,196.1,0,4,27/06/2022,2022-06-28
3967,127,0,10,0,0,0,27/06/2022,2022-06-28
3971,4017,21,862,522.8,1,6,27/06/2022,2022-06-28
3975,15246,118,6183,774,36,6,27/06/2022,2022-06-28
3976,25532,97,7933,379.9,11,5,27/06/2022,2022-06-28
3977,93322,652,39469,698.7,115,6,27/06/2022,2022-06-28
3978,10648,254,16282,2385.4,35,7,27/06/2022,2022-06-28
3979,315,0,76,0,0,0,27/06/2022,2022-06-28
3980,3350,14,982,417.9,3,5,27/06/2022,2022-06-28
3981,4901,21,1451,428.5,5,5,27/06/2022,2022-06-28
3984,5212,42,1819,805.8,4,6,27/06/2022,2022-06-28
3987,1527,3,360,196.5,0,4,27/06/2022,2022-06-28
3988,1001,0,226,0,0,0,27/06/2022,2022-06-28
3990,110,0,27,0,0,0,27/06/2022,2022-06-28
3991,357,1,75,280.1,0,5,27/06/2022,2022-06-28
3992,966,11,354,1138.7,1,7,27/06/2022,2022-06-28
3995,10171,58,3030,570.2,13,6,27/06/2022,2022-06-28
3996,5541,43,1781,776,9,6,27/06/2022,2022-06-28
9998,,0,621,0,0,0,27/06/2022,2022-06-28
9999,,335,19884,0,60,0,27/06/2022,2022-06-28
